======================================================================
ANALIZADOR LÉXICO - MINIKOTLIN MEJORADO
Usuario: LuisRoca09
Fecha: 26/11/2025 16:22:47
======================================================================

=== TOKENS RECONOCIDOS ===

FUN             (fun) -> línea 4, col 1
RPAREN          ()) -> línea 228, col 15
COLON           (:) -> línea 228, col 16
IDENT           (Int) -> línea 228, col 18
LBRACE          ({) -> línea 228, col 22
RETURN          (return) -> línea 229, col 5
INT             (2) -> línea 229, col 12
SEMICOLON       (;) -> línea 229, col 13
RBRACE          (}) -> línea 230, col 1
FUN             (fun) -> línea 233, col 1
IDENT           (multiplicar) -> línea 233, col 5
LPAREN          (() -> línea 233, col 16
IDENT           (a) -> línea 233, col 17
COLON           (:) -> línea 233, col 18
IDENT           (Int) -> línea 233, col 20
COMMA           (,) -> línea 233, col 23
IDENT           (b) -> línea 233, col 25
COLON           (:) -> línea 233, col 26
IDENT           (Int) -> línea 233, col 28
RPAREN          ()) -> línea 233, col 31
COLON           (:) -> línea 233, col 32
IDENT           (Int) -> línea 233, col 34
LBRACE          ({) -> línea 233, col 38
RETURN          (return) -> línea 234, col 5
IDENT           (a) -> línea 234, col 12
STAR            (*) -> línea 234, col 14
IDENT           (b) -> línea 234, col 16
SEMICOLON       (;) -> línea 234, col 17
RBRACE          (}) -> línea 235, col 1
FUN             (fun) -> línea 237, col 1
IDENT           (calcularArea) -> línea 237, col 5
LPAREN          (() -> línea 237, col 17
IDENT           (base) -> línea 237, col 18
COLON           (:) -> línea 237, col 22
IDENT           (Int) -> línea 237, col 24
COMMA           (,) -> línea 237, col 27
IDENT           (altura) -> línea 237, col 29
COLON           (:) -> línea 237, col 35
IDENT           (Int) -> línea 237, col 37
RPAREN          ()) -> línea 237, col 40
COLON           (:) -> línea 237, col 41
IDENT           (Int) -> línea 237, col 43
LBRACE          ({) -> línea 237, col 47
RETURN          (return) -> línea 238, col 5
IDENT           (multiplicar) -> línea 238, col 12
LPAREN          (() -> línea 238, col 23
IDENT           (base) -> línea 238, col 24
COMMA           (,) -> línea 238, col 28
IDENT           (altura) -> línea 238, col 30
RPAREN          ()) -> línea 238, col 36
SEMICOLON       (;) -> línea 238, col 37
RBRACE          (}) -> línea 239, col 1
FUN             (fun) -> línea 242, col 1
IDENT           (casosMixtosFunciones) -> línea 242, col 5
LPAREN          (() -> línea 242, col 25
RPAREN          ()) -> línea 242, col 26
LBRACE          ({) -> línea 242, col 28
VAL             (val) -> línea 243, col 5
IDENT           (resultado1) -> línea 243, col 9
EQUAL           (=) -> línea 243, col 20
IDENT           (sumar) -> línea 243, col 22
LPAREN          (() -> línea 243, col 27
INT             (5) -> línea 243, col 28
COMMA           (,) -> línea 243, col 29
INT             (10) -> línea 243, col 31
RPAREN          ()) -> línea 243, col 33
SEMICOLON       (;) -> línea 243, col 34
VAL             (val) -> línea 244, col 5
IDENT           (resultado2) -> línea 244, col 9
EQUAL           (=) -> línea 244, col 20
IDENT           (funcionInexistente2) -> línea 244, col 22
LPAREN          (() -> línea 244, col 41
RPAREN          ()) -> línea 244, col 42
SEMICOLON       (;) -> línea 244, col 43
PRINTLN         (println) -> línea 246, col 5
LPAREN          (() -> línea 246, col 12
IDENT           (resultado1) -> línea 246, col 13
RPAREN          ()) -> línea 246, col 23
SEMICOLON       (;) -> línea 246, col 24
RBRACE          (}) -> línea 247, col 1

Total de tokens: 785

======================================================================
=== ERRORES LÉXICOS ===

✅ No se encontraron errores léxicos

======================================================================
=== RESUMEN ===

Tokens reconocidos: 785
Errores encontrados: 0

✅ Análisis completado EXITOSAMENTE
